LoanID,CustomerID,BranchID,LoanAmount,LoanType,Rate,LoanTerm,ApprovalRejectionDate,LoanStatus
1,1,43,32200.06,Mortgage,2.64,36,5/11/2021,Rejected
2,2,63,47743.52,Auto,2.48,36,7/30/2020,Approved
3,3,82,47981.31,Auto,7.84,24,1/17/2021,Closed
4,4,41,4482.80,Personal,7.21,48,2/15/2022,Approved
5,5,9,1092.33,Mortgage,5.37,12,7/31/2020,Approved
6,6,20,48039.24,Mortgage,1.45,24,11/14/2020,Closed
7,7,21,27230.51,Mortgage,5.25,24,1/26/2020,Approved
8,8,25,35319.63,Mortgage,8.51,12,10/21/2020,Approved
9,9,66,45717.26,Mortgage,1.10,60,12/17/2022,Rejected
10,10,30,22224.58,Auto,1.92,24,9/11/2021,Closed
11,11,72,22592.01,Personal,8.28,60,11/20/2022,Rejected
12,12,25,9182.10,Auto,5.73,48,7/29/2020,Approved
13,13,94,45385.59,Auto,6.96,36,9/20/2021,Approved
14,14,30,32735.99,Auto,7.71,48,12/21/2022,Approved
15,15,77,9833.19,Mortgage,3.70,36,12/6/2022,Closed
16,16,31,28429.81,Mortgage,3.68,24,12/11/2021,Approved
17,17,96,17080.03,Auto,3.38,36,12/15/2022,Rejected
18,18,36,8211.92,Auto,2.51,12,2/23/2022,Closed
19,19,41,9911.60,Personal,3.74,12,6/5/2022,Rejected
20,20,61,28403.60,Mortgage,9.58,48,1/27/2021,Closed
21,21,29,28654.88,Personal,1.77,12,7/26/2020,Closed
22,22,34,39707.10,Personal,3.17,48,10/28/2021,Rejected
23,23,19,13151.23,Mortgage,3.86,60,2/20/2022,Closed
24,24,90,45875.84,Personal,2.38,60,3/7/2022,Rejected
25,25,5,26412.03,Mortgage,1.70,48,5/18/2020,Rejected
26,26,20,11004.46,Personal,2.46,48,11/3/2022,Approved
27,27,78,21250.75,Personal,5.75,48,4/19/2021,Approved
28,28,29,46244.60,Mortgage,6.37,36,10/23/2022,Approved
29,29,3,24429.67,Auto,2.94,12,2/20/2022,Rejected
30,30,84,43861.04,Auto,5.53,36,2/23/2022,Closed
31,31,25,8831.80,Auto,1.06,36,12/21/2021,Approved
32,32,69,45783.96,Auto,6.42,36,5/15/2022,Closed
33,33,55,22100.32,Mortgage,1.01,60,8/21/2021,Closed
34,34,56,46870.22,Personal,6.78,60,9/2/2020,Rejected
35,35,29,43437.85,Mortgage,5.35,36,3/10/2022,Closed
36,36,41,33338.35,Mortgage,1.98,24,2/10/2021,Rejected
37,37,2,33969.47,Mortgage,1.80,36,7/25/2022,Rejected
38,38,6,11363.89,Personal,1.06,24,4/8/2021,Rejected
39,39,59,30538.66,Auto,5.96,24,10/25/2020,Rejected
40,40,65,27925.28,Mortgage,8.26,12,12/16/2022,Rejected
41,41,31,17373.20,Mortgage,8.71,48,11/4/2021,Rejected
42,42,91,25775.45,Personal,6.12,36,10/13/2022,Closed
43,43,46,46528.03,Personal,8.98,36,2/20/2020,Approved
44,44,60,1259.98,Mortgage,8.76,36,5/14/2020,Approved
45,45,46,21439.08,Personal,7.28,48,9/26/2022,Approved
46,46,19,17348.30,Mortgage,4.27,24,5/9/2020,Closed
47,47,1,48100.32,Mortgage,8.44,36,11/5/2021,Closed
48,48,95,48720.82,Mortgage,4.53,36,2/17/2020,Rejected
49,49,18,29697.37,Personal,4.63,48,4/5/2021,Approved
50,50,7,27950.34,Auto,7.10,60,12/26/2022,Closed
51,51,32,45257.41,Mortgage,9.35,48,3/21/2021,Rejected
52,52,99,1320.58,Mortgage,5.50,48,11/25/2021,Approved
53,53,96,28551.75,Mortgage,2.59,60,8/23/2020,Rejected
54,54,59,2206.99,Mortgage,2.28,12,12/12/2020,Approved
55,55,65,48439.95,Mortgage,3.72,48,6/4/2020,Approved
56,56,97,16687.82,Auto,5.12,48,12/25/2022,Approved
57,57,12,26519.26,Mortgage,3.68,36,2/17/2020,Closed
58,58,45,21460.86,Personal,7.41,24,2/23/2021,Rejected
59,59,24,44787.58,Auto,5.88,24,9/28/2022,Rejected
60,60,54,49991.08,Mortgage,4.66,48,3/29/2021,Closed
61,61,4,4351.01,Auto,2.92,24,10/7/2022,Approved
62,62,79,36869.53,Mortgage,6.45,36,4/6/2021,Approved
63,63,96,19031.93,Auto,7.07,48,2/24/2020,Approved
64,64,24,7814.57,Mortgage,8.06,48,1/7/2021,Rejected
65,65,23,20866.44,Personal,9.92,48,3/2/2020,Rejected
66,66,89,49909.18,Mortgage,3.08,36,12/10/2021,Rejected
67,67,49,18520.80,Auto,1.14,24,10/23/2021,Approved
68,68,90,14592.57,Personal,5.50,48,5/6/2021,Approved
69,69,21,42462.40,Auto,9.32,60,11/14/2022,Approved
70,70,70,43528.96,Auto,3.24,48,3/10/2021,Rejected
71,71,22,17604.59,Mortgage,7.80,24,4/25/2022,Approved
72,72,75,15634.98,Personal,3.88,12,1/15/2022,Approved
73,73,37,32716.79,Mortgage,4.52,12,3/17/2021,Closed
74,74,30,11053.75,Auto,9.53,12,10/5/2022,Rejected
75,75,31,24700.58,Personal,5.15,60,8/21/2020,Rejected
76,76,33,7925.84,Mortgage,7.53,12,3/27/2022,Rejected
77,77,76,15932.98,Auto,5.95,36,8/8/2020,Rejected
78,78,27,15576.59,Personal,7.88,36,8/22/2022,Closed
79,79,78,35050.10,Mortgage,3.86,12,5/5/2022,Closed
80,80,58,14831.38,Personal,8.89,12,12/12/2022,Closed
81,81,1,45026.29,Personal,5.94,24,9/14/2020,Closed
82,82,64,49169.26,Mortgage,3.78,36,2/22/2022,Approved
83,83,72,4972.02,Auto,1.34,24,2/24/2021,Approved
84,84,72,20484.73,Mortgage,1.12,24,11/6/2020,Closed
85,85,93,15790.21,Mortgage,4.18,12,12/14/2022,Approved
